iter	Passed	Remaining
0	53	53574
1	59	29601
2	70	23406
3	78	19549
4	87	17445
5	94	15730
6	102	14596
7	112	13992
8	117	12972
9	127	12581
10	136	12278
11	141	11660
12	150	11462
13	156	11004
14	165	10843
15	174	10750
16	181	10469
17	191	10430
18	198	10250
19	205	10067
20	214	9977
21	221	9838
22	229	9735
23	237	9667
24	247	9647
25	255	9576
26	262	9472
27	269	9372
28	277	9302
29	284	9214
30	293	9162
31	299	9057
32	308	9029
33	317	9018
34	320	8829
35	323	8669
36	327	8517
37	330	8370
38	336	8298
39	340	8172
40	343	8043
41	348	7944
42	353	7861
43	356	7735
44	359	7639
45	362	7528
46	367	7447
47	370	7351
48	376	7315
49	397	7557
50	410	7643
51	418	7631
52	426	7618
53	443	7762
54	453	7793
55	465	7846
56	470	7785
57	481	7826
58	487	7768
59	494	7752
60	503	7749
61	511	7740
62	519	7721
63	527	7715
64	537	7730
65	543	7695
66	553	7710
67	559	7672
68	569	7682
69	575	7651
70	585	7665
71	591	7625
72	599	7618
73	606	7593
74	610	7530
75	613	7458
76	616	7387
77	619	7319
78	622	7258
79	625	7191
80	627	7122
81	630	7059
82	633	6996
83	636	6936
84	638	6877
85	642	6824
86	644	6767
87	647	6712
88	650	6657
89	653	6606
90	656	6553
91	659	6505
92	661	6455
93	664	6407
94	667	6358
95	670	6314
96	673	6269
97	676	6226
98	679	6183
99	682	6138
100	685	6103
101	688	6063
102	692	6028
103	698	6019
104	704	6000
105	707	5963
106	709	5922
107	712	5887
108	715	5850
109	718	5813
110	721	5777
111	724	5744
112	727	5709
113	729	5672
114	732	5638
115	735	5602
116	737	5568
117	740	5535
118	743	5502
119	745	5470
120	749	5442
121	752	5416
122	755	5384
123	757	5352
124	760	5323
125	763	5294
126	765	5265
127	769	5243
128	772	5216
129	775	5189
130	778	5162
131	781	5135
132	783	5107
133	786	5081
134	789	5058
135	792	5033
136	795	5008
137	797	4983
138	800	4957
139	803	4933
140	805	4910
141	809	4889
142	812	4866
143	814	4843
144	818	4823
145	820	4798
146	823	4777
147	826	4755
148	828	4733
149	831	4710
150	834	4690
151	837	4670
152	840	4651
153	843	4631
154	845	4612
155	850	4600
156	852	4579
157	855	4560
158	858	4540
159	861	4521
160	863	4502
161	867	4484
162	869	4467
163	872	4448
164	875	4431
165	878	4412
166	881	4394
167	883	4377
168	886	4361
169	889	4343
170	892	4326
171	895	4309
172	898	4294
173	901	4279
174	904	4266
175	908	4253
176	911	4237
177	914	4224
178	917	4208
179	920	4192
180	923	4177
181	926	4165
182	931	4159
183	935	4147
184	938	4135
185	942	4125
186	946	4115
187	951	4111
188	953	4092
189	956	4076
190	959	4062
191	962	4050
192	966	4041
193	969	4027
194	972	4013
195	976	4005
196	979	3993
197	982	3980
198	985	3966
199	988	3953
200	990	3938
201	993	3925
202	996	3910
203	999	3898
204	1002	3889
205	1006	3877
206	1008	3864
207	1011	3851
208	1015	3841
209	1018	3832
210	1021	3820
211	1024	3806
212	1027	3794
213	1029	3782
214	1033	3771
215	1036	3761
216	1039	3749
217	1041	3737
218	1045	3726
219	1047	3715
220	1051	3704
221	1054	3695
222	1057	3684
223	1060	3672
224	1063	3662
225	1066	3651
226	1069	3640
227	1072	3629
228	1076	3622
229	1079	3614
230	1083	3606
231	1087	3599
232	1090	3590
233	1094	3582
234	1098	3574
235	1102	3567
236	1105	3559
237	1108	3549
238	1111	3538
239	1114	3530
240	1118	3521
241	1121	3511
242	1123	3500
243	1127	3492
244	1130	3484
245	1139	3492
246	1145	3491
247	1148	3482
248	1151	3472
249	1154	3463
250	1157	3453
251	1160	3445
252	1164	3436
253	1166	3427
254	1169	3417
255	1172	3408
256	1175	3398
257	1178	3390
258	1181	3380
259	1185	3374
260	1188	3366
261	1191	3357
262	1195	3348
263	1198	3340
264	1201	3331
265	1204	3322
266	1206	3313
267	1210	3305
268	1213	3298
269	1216	3288
270	1218	3278
271	1221	3270
272	1224	3261
273	1227	3252
274	1230	3243
275	1233	3234
276	1235	3225
277	1238	3216
278	1240	3206
279	1243	3197
280	1246	3188
281	1249	3180
282	1251	3171
283	1254	3163
284	1257	3155
285	1260	3146
286	1263	3138
287	1266	3130
288	1268	3121
289	1271	3112
290	1274	3104
291	1276	3095
292	1279	3086
293	1281	3077
294	1284	3069
295	1287	3061
296	1289	3053
297	1292	3045
298	1296	3038
299	1299	3031
300	1300	3020
301	1303	3013
302	1307	3007
303	1310	2999
304	1312	2991
305	1315	2983
306	1318	2975
307	1321	2969
308	1324	2961
309	1327	2953
310	1329	2945
311	1333	2941
312	1336	2933
313	1339	2926
314	1341	2918
315	1344	2910
316	1347	2902
317	1350	2895
318	1352	2887
319	1355	2880
320	1359	2874
321	1361	2867
322	1364	2860
323	1367	2853
324	1370	2845
325	1373	2838
326	1375	2831
327	1378	2823
328	1381	2816
329	1383	2809
330	1386	2802
331	1389	2795
332	1393	2790
333	1395	2783
334	1398	2776
335	1401	2769
336	1404	2763
337	1407	2756
338	1410	2749
339	1413	2744
340	1416	2738
341	1420	2733
342	1434	2747
343	1437	2740
344	1448	2749
345	1455	2750
346	1462	2752
347	1467	2750
348	1472	2746
349	1478	2745
